,pred,true_label,fold
0,acinar,acinar,1
1,beta,beta,1
2,acinar,acinar,1
3,beta,beta,1
4,delta,delta,1
5,delta,delta,1
6,delta,delta,1
7,beta,beta,1
8,acinar,acinar,1
9,beta,beta,1
10,ductal,ductal,1
11,delta,delta,1
12,beta,beta,1
13,beta,beta,1
14,activated_stellate,activated_stellate,1
15,beta,beta,1
16,beta,beta,1
17,beta,beta,1
18,alpha,alpha,1
19,alpha,alpha,1
20,beta,beta,1
21,delta,delta,1
22,beta,beta,1
23,delta,delta,1
24,beta,beta,1
25,beta,beta,1
26,beta,beta,1
27,beta,beta,1
28,alpha,alpha,1
29,alpha,alpha,1
30,ductal,ductal,1
31,beta,beta,1
32,beta,beta,1
33,beta,beta,1
34,beta,beta,1
35,beta,beta,1
36,beta,beta,1
37,acinar,acinar,1
38,alpha,alpha,1
39,endothelial,endothelial,1
40,alpha,alpha,1
41,gamma,gamma,1
42,alpha,alpha,1
43,beta,beta,1
44,ductal,ductal,1
45,alpha,alpha,1
46,ductal,ductal,1
47,ductal,ductal,1
48,activated_stellate,activated_stellate,1
49,beta,beta,1
50,beta,beta,1
51,beta,beta,1
52,acinar,acinar,1
53,beta,beta,1
54,alpha,alpha,1
55,beta,beta,1
56,beta,beta,1
57,beta,beta,1
58,alpha,alpha,1
59,endothelial,endothelial,1
60,alpha,alpha,1
61,gamma,gamma,1
62,beta,beta,1
63,beta,beta,1
64,beta,beta,1
65,beta,beta,1
66,beta,beta,1
67,beta,beta,1
68,beta,beta,1
69,delta,delta,1
70,beta,beta,1
71,gamma,gamma,1
72,epsilon,beta,1
73,beta,beta,1
74,beta,beta,1
75,delta,delta,1
76,epsilon,epsilon,1
77,beta,beta,1
78,ductal,ductal,1
79,beta,beta,1
80,beta,beta,1
81,beta,beta,1
82,alpha,alpha,1
83,beta,beta,1
84,alpha,alpha,1
85,beta,beta,1
86,beta,beta,1
87,schwann,schwann,1
88,alpha,alpha,1
89,beta,beta,1
90,ductal,ductal,1
91,endothelial,endothelial,1
92,alpha,alpha,1
93,acinar,acinar,1
94,beta,beta,1
95,beta,beta,1
96,beta,beta,1
97,beta,beta,1
98,beta,beta,1
99,beta,beta,1
100,beta,beta,1
101,quiescent_stellate,quiescent_stellate,1
102,delta,delta,1
103,alpha,alpha,1
104,acinar,acinar,1
105,beta,beta,1
106,endothelial,endothelial,1
107,activated_stellate,activated_stellate,1
108,beta,beta,1
109,acinar,acinar,1
110,gamma,gamma,1
111,beta,beta,1
112,beta,beta,1
113,beta,beta,1
114,beta,beta,1
115,quiescent_stellate,quiescent_stellate,1
116,delta,delta,1
117,beta,beta,1
118,activated_stellate,activated_stellate,1
119,quiescent_stellate,quiescent_stellate,1
120,beta,beta,1
121,beta,beta,1
122,endothelial,endothelial,1
123,beta,beta,1
124,beta,beta,1
125,ductal,ductal,1
126,endothelial,endothelial,1
127,endothelial,endothelial,1
128,beta,beta,1
129,ductal,ductal,1
130,acinar,acinar,1
131,acinar,acinar,1
132,acinar,acinar,1
133,beta,beta,1
134,alpha,alpha,1
135,delta,delta,1
136,beta,beta,1
137,delta,delta,1
138,alpha,alpha,1
139,beta,beta,1
140,beta,beta,1
141,beta,beta,1
142,acinar,acinar,1
143,beta,beta,1
144,beta,beta,1
145,beta,beta,1
146,beta,beta,1
147,beta,beta,1
148,beta,beta,1
149,delta,delta,1
150,ductal,ductal,1
151,beta,beta,1
152,acinar,acinar,1
153,beta,beta,1
154,beta,beta,1
155,delta,delta,1
156,beta,beta,1
157,beta,beta,1
158,beta,beta,1
159,beta,beta,1
160,beta,beta,1
161,beta,beta,1
162,delta,delta,1
163,beta,beta,1
164,beta,beta,1
165,beta,beta,1
166,beta,beta,1
167,ductal,ductal,1
168,beta,beta,1
169,ductal,ductal,1
170,alpha,alpha,1
171,beta,beta,1
172,delta,delta,1
173,beta,beta,1
174,beta,beta,1
175,beta,beta,1
176,beta,beta,1
177,beta,beta,1
178,alpha,alpha,1
179,beta,beta,1
180,delta,delta,1
181,beta,beta,1
182,alpha,alpha,1
183,alpha,alpha,1
184,beta,beta,1
185,beta,beta,1
186,beta,beta,1
187,macrophage,macrophage,1
188,alpha,alpha,1
189,beta,beta,1
190,ductal,ductal,1
191,gamma,gamma,1
192,beta,beta,1
193,alpha,alpha,1
194,beta,beta,1
195,beta,beta,1
196,beta,beta,1
197,beta,beta,1
198,delta,delta,1
199,acinar,acinar,1
200,alpha,alpha,1
201,beta,beta,1
202,beta,beta,1
203,beta,beta,1
204,alpha,alpha,1
205,acinar,acinar,1
206,beta,beta,1
207,alpha,alpha,1
208,beta,beta,1
209,ductal,ductal,1
210,delta,delta,1
211,acinar,acinar,1
212,quiescent_stellate,quiescent_stellate,1
213,beta,beta,1
214,beta,beta,1
215,beta,beta,1
216,beta,beta,1
217,gamma,gamma,1
218,beta,beta,1
219,delta,delta,1
220,endothelial,endothelial,1
221,endothelial,endothelial,1
222,beta,beta,1
223,beta,beta,1
224,beta,beta,1
225,alpha,alpha,1
226,delta,delta,1
227,alpha,alpha,1
228,alpha,alpha,1
229,gamma,gamma,1
230,endothelial,endothelial,1
231,beta,beta,1
232,endothelial,endothelial,1
233,ductal,ductal,1
234,beta,beta,1
235,activated_stellate,activated_stellate,1
236,beta,beta,1
237,beta,beta,1
238,alpha,alpha,1
239,activated_stellate,activated_stellate,1
240,beta,beta,1
241,endothelial,endothelial,1
242,endothelial,endothelial,1
243,quiescent_stellate,quiescent_stellate,1
244,acinar,acinar,1
245,activated_stellate,activated_stellate,1
246,beta,beta,1
247,beta,beta,1
248,alpha,alpha,1
249,beta,beta,1
250,beta,beta,1
251,endothelial,endothelial,1
252,alpha,alpha,1
253,quiescent_stellate,quiescent_stellate,1
254,delta,delta,1
255,delta,delta,1
256,delta,delta,1
257,activated_stellate,activated_stellate,1
258,acinar,acinar,1
259,delta,delta,1
260,beta,beta,1
261,delta,delta,1
262,delta,delta,1
263,beta,beta,1
264,alpha,alpha,1
265,beta,beta,1
266,beta,beta,1
