"","pred","true_label","fold"
"1","acinar","acinar",1
"2","beta","beta",1
"3","acinar","acinar",1
"4","beta","beta",1
"5","delta","delta",1
"6","delta","delta",1
"7","delta","delta",1
"8","beta","beta",1
"9","acinar","acinar",1
"10","beta","beta",1
"11","ductal","ductal",1
"12","delta","delta",1
"13","beta","beta",1
"14","beta","beta",1
"15","activated_stellate","activated_stellate",1
"16","beta","beta",1
"17","beta","beta",1
"18","beta","beta",1
"19","alpha","alpha",1
"20","alpha","alpha",1
"21","beta","beta",1
"22","delta","delta",1
"23","beta","beta",1
"24","delta","delta",1
"25","beta","beta",1
"26","beta","beta",1
"27","beta","beta",1
"28","beta","beta",1
"29","alpha","alpha",1
"30","alpha","alpha",1
"31","ductal","ductal",1
"32","beta","beta",1
"33","beta","beta",1
"34","beta","beta",1
"35","beta","beta",1
"36","beta","beta",1
"37","beta","beta",1
"38","acinar","acinar",1
"39","alpha","alpha",1
"40","endothelial","endothelial",1
"41","alpha","alpha",1
"42","gamma","gamma",1
"43","alpha","alpha",1
"44","beta","beta",1
"45","ductal","ductal",1
"46","alpha","alpha",1
"47","ductal","ductal",1
"48","ductal","ductal",1
"49","activated_stellate","activated_stellate",1
"50","beta","beta",1
"51","beta","beta",1
"52","beta","beta",1
"53","acinar","acinar",1
"54","beta","beta",1
"55","alpha","alpha",1
"56","beta","beta",1
"57","beta","beta",1
"58","beta","beta",1
"59","alpha","alpha",1
"60","endothelial","endothelial",1
"61","alpha","alpha",1
"62","gamma","gamma",1
"63","beta","beta",1
"64","beta","beta",1
"65","beta","beta",1
"66","beta","beta",1
"67","beta","beta",1
"68","beta","beta",1
"69","beta","beta",1
"70","delta","delta",1
"71","beta","beta",1
"72","gamma","gamma",1
"73","gamma","beta",1
"74","beta","beta",1
"75","beta","beta",1
"76","delta","delta",1
"77","epsilon","epsilon",1
"78","beta","beta",1
"79","ductal","ductal",1
"80","beta","beta",1
"81","beta","beta",1
"82","beta","beta",1
"83","beta","alpha",1
"84","beta","beta",1
"85","alpha","alpha",1
"86","beta","beta",1
"87","beta","beta",1
"88","schwann","schwann",1
"89","alpha","alpha",1
"90","beta","beta",1
"91","ductal","ductal",1
"92","endothelial","endothelial",1
"93","alpha","alpha",1
"94","acinar","acinar",1
"95","beta","beta",1
"96","beta","beta",1
"97","beta","beta",1
"98","beta","beta",1
"99","beta","beta",1
"100","beta","beta",1
"101","beta","beta",1
"102","quiescent_stellate","quiescent_stellate",1
"103","delta","delta",1
"104","alpha","alpha",1
"105","acinar","acinar",1
"106","beta","beta",1
"107","endothelial","endothelial",1
"108","activated_stellate","activated_stellate",1
"109","beta","beta",1
"110","acinar","acinar",1
"111","gamma","gamma",1
"112","beta","beta",1
"113","beta","beta",1
"114","beta","beta",1
"115","beta","beta",1
"116","quiescent_stellate","quiescent_stellate",1
"117","delta","delta",1
"118","beta","beta",1
"119","activated_stellate","activated_stellate",1
"120","quiescent_stellate","quiescent_stellate",1
"121","beta","beta",1
"122","beta","beta",1
"123","endothelial","endothelial",1
"124","beta","beta",1
"125","beta","beta",1
"126","ductal","ductal",1
"127","endothelial","endothelial",1
"128","endothelial","endothelial",1
"129","beta","beta",1
"130","ductal","ductal",1
"131","acinar","acinar",1
"132","acinar","acinar",1
"133","acinar","acinar",1
"134","beta","beta",1
"135","alpha","alpha",1
"136","delta","delta",1
"137","beta","beta",1
"138","delta","delta",1
"139","alpha","alpha",1
"140","beta","beta",1
"141","beta","beta",1
"142","beta","beta",1
"143","acinar","acinar",1
"144","beta","beta",1
"145","beta","beta",1
"146","beta","beta",1
"147","beta","beta",1
"148","beta","beta",1
"149","beta","beta",1
"150","delta","delta",1
"151","ductal","ductal",1
"152","beta","beta",1
"153","acinar","acinar",1
"154","beta","beta",1
"155","beta","beta",1
"156","delta","delta",1
"157","beta","beta",1
"158","beta","beta",1
"159","beta","beta",1
"160","beta","beta",1
"161","beta","beta",1
"162","beta","beta",1
"163","delta","delta",1
"164","beta","beta",1
"165","beta","beta",1
"166","beta","beta",1
"167","beta","beta",1
"168","ductal","ductal",1
"169","beta","beta",1
"170","ductal","ductal",1
"171","alpha","alpha",1
"172","beta","beta",1
"173","delta","delta",1
"174","beta","beta",1
"175","beta","beta",1
"176","beta","beta",1
"177","beta","beta",1
"178","beta","beta",1
"179","alpha","alpha",1
"180","beta","beta",1
"181","delta","delta",1
"182","beta","beta",1
"183","alpha","alpha",1
"184","alpha","alpha",1
"185","beta","beta",1
"186","beta","beta",1
"187","beta","beta",1
"188","macrophage","macrophage",1
"189","alpha","alpha",1
"190","beta","beta",1
"191","ductal","ductal",1
"192","gamma","gamma",1
"193","beta","beta",1
"194","alpha","alpha",1
"195","beta","beta",1
"196","beta","beta",1
"197","beta","beta",1
"198","beta","beta",1
"199","delta","delta",1
"200","acinar","acinar",1
"201","alpha","alpha",1
"202","beta","beta",1
"203","beta","beta",1
"204","beta","beta",1
"205","alpha","alpha",1
"206","acinar","acinar",1
"207","beta","beta",1
"208","alpha","alpha",1
"209","beta","beta",1
"210","ductal","ductal",1
"211","delta","delta",1
"212","acinar","acinar",1
"213","quiescent_stellate","quiescent_stellate",1
"214","beta","beta",1
"215","beta","beta",1
"216","beta","beta",1
"217","beta","beta",1
"218","gamma","gamma",1
"219","beta","beta",1
"220","delta","delta",1
"221","endothelial","endothelial",1
"222","endothelial","endothelial",1
"223","beta","beta",1
"224","beta","beta",1
"225","beta","beta",1
"226","alpha","alpha",1
"227","delta","delta",1
"228","alpha","alpha",1
"229","alpha","alpha",1
"230","gamma","gamma",1
"231","endothelial","endothelial",1
"232","beta","beta",1
"233","endothelial","endothelial",1
"234","ductal","ductal",1
"235","beta","beta",1
"236","activated_stellate","activated_stellate",1
"237","beta","beta",1
"238","beta","beta",1
"239","alpha","alpha",1
"240","activated_stellate","activated_stellate",1
"241","beta","beta",1
"242","endothelial","endothelial",1
"243","endothelial","endothelial",1
"244","quiescent_stellate","quiescent_stellate",1
"245","acinar","acinar",1
"246","activated_stellate","activated_stellate",1
"247","beta","beta",1
"248","beta","beta",1
"249","alpha","alpha",1
"250","beta","beta",1
"251","beta","beta",1
"252","endothelial","endothelial",1
"253","alpha","alpha",1
"254","quiescent_stellate","quiescent_stellate",1
"255","delta","delta",1
"256","delta","delta",1
"257","delta","delta",1
"258","activated_stellate","activated_stellate",1
"259","acinar","acinar",1
"260","delta","delta",1
"261","beta","beta",1
"262","delta","delta",1
"263","delta","delta",1
"264","beta","beta",1
"265","alpha","alpha",1
"266","beta","beta",1
"267","beta","beta",1
"268","delta","delta",1
"269","delta","delta",1
"270","beta","beta",1
"271","beta","beta",1
"272","delta","delta",1
"273","beta","beta",1
"274","ductal","ductal",1
"275","beta","beta",1
"276","beta","beta",1
"277","beta","beta",1
"278","delta","delta",1
"279","beta","beta",1
"280","activated_stellate","activated_stellate",1
"281","beta","beta",1
"282","acinar","acinar",1
"283","beta","beta",1
"284","beta","beta",1
"285","alpha","alpha",1
"286","beta","beta",1
"287","gamma","gamma",1
"288","quiescent_stellate","quiescent_stellate",1
"289","beta","beta",1
"290","ductal","ductal",1
"291","alpha","alpha",1
"292","quiescent_stellate","quiescent_stellate",1
"293","ductal","ductal",1
"294","beta","beta",1
"295","beta","beta",1
"296","beta","beta",1
"297","beta","beta",1
"298","beta","beta",1
"299","alpha","alpha",1
"300","delta","delta",1
"301","activated_stellate","activated_stellate",1
"302","alpha","alpha",1
"303","delta","delta",1
"304","activated_stellate","activated_stellate",1
"305","beta","beta",1
"306","beta","beta",1
"307","alpha","alpha",1
"308","beta","beta",1
"309","beta","beta",1
"310","ductal","ductal",1
"311","alpha","alpha",1
"312","beta","beta",1
"313","delta","delta",1
"314","beta","beta",1
"315","alpha","alpha",1
"316","beta","beta",1
"317","beta","beta",1
"318","gamma","gamma",1
"319","alpha","alpha",1
"320","alpha","alpha",1
"321","beta","beta",1
"322","beta","beta",1
"323","alpha","alpha",1
"324","beta","beta",1
"325","delta","delta",1
"326","alpha","alpha",1
"327","ductal","ductal",1
"328","beta","beta",1
"329","beta","beta",1
"330","acinar","acinar",1
"331","alpha","alpha",1
"332","beta","beta",1
"333","ductal","acinar",1
"334","alpha","alpha",1
"335","alpha","alpha",1
"336","beta","beta",1
"337","alpha","alpha",1
"338","endothelial","endothelial",1
"339","beta","beta",1
"340","beta","beta",1
"341","alpha","alpha",1
"342","delta","delta",1
"343","beta","beta",1
"344","endothelial","endothelial",1
"345","mast","mast",1
"346","endothelial","endothelial",1
"347","endothelial","endothelial",1
"348","quiescent_stellate","quiescent_stellate",1
"349","endothelial","endothelial",1
"350","quiescent_stellate","quiescent_stellate",1
"351","beta","beta",1
"352","beta","beta",1
"353","beta","beta",1
"354","beta","beta",1
"355","quiescent_stellate","quiescent_stellate",1
"356","beta","beta",1
"357","quiescent_stellate","quiescent_stellate",1
"358","endothelial","endothelial",1
"359","epsilon","epsilon",1
"360","beta","beta",1
"361","ductal","ductal",1
"362","beta","beta",1
"363","beta","beta",1
"364","endothelial","endothelial",1
"365","quiescent_stellate","quiescent_stellate",1
"366","beta","beta",1
"367","quiescent_stellate","quiescent_stellate",1
"368","beta","beta",1
"369","beta","beta",1
"370","beta","beta",1
"371","alpha","alpha",1
"372","beta","beta",1
"373","beta","beta",1
"374","endothelial","endothelial",1
"375","beta","beta",1
"376","endothelial","endothelial",1
"377","alpha","alpha",1
"378","alpha","alpha",1
"379","quiescent_stellate","quiescent_stellate",1
"380","epsilon","epsilon",1
"381","beta","beta",1
"382","beta","beta",1
"383","beta","beta",1
"384","beta","beta",1
"385","beta","beta",1
"386","quiescent_stellate","quiescent_stellate",1
"387","beta","beta",1
"388","beta","beta",1
"389","beta","beta",1
"390","beta","beta",1
"391","quiescent_stellate","quiescent_stellate",1
"392","delta","delta",1
"393","delta","delta",1
"394","delta","delta",1
"395","delta","delta",1
"396","ductal","ductal",1
"397","delta","delta",1
"398","alpha","alpha",1
"399","alpha","alpha",1
"400","delta","delta",1
"401","ductal","ductal",1
"402","ductal","ductal",1
"403","ductal","ductal",1
"404","delta","delta",1
"405","macrophage","macrophage",1
"406","delta","delta",1
"407","alpha","alpha",1
"408","activated_stellate","activated_stellate",1
"409","delta","delta",1
"410","alpha","alpha",1
"411","activated_stellate","activated_stellate",1
"412","beta","beta",1
"413","beta","beta",1
"414","ductal","ductal",1
"415","alpha","alpha",1
"416","alpha","alpha",1
"417","beta","beta",1
"418","ductal","ductal",1
"419","alpha","alpha",1
"420","alpha","alpha",1
"421","beta","beta",1
"422","delta","delta",1
"423","beta","beta",1
"424","ductal","ductal",1
"425","alpha","alpha",1
"426","beta","beta",1
"427","beta","beta",1
"428","delta","delta",1
