"","pred","true_label","fold"
"Cell_1","acinar","acinar",1
"Cell_2","beta","beta",1
"Cell_3","acinar","acinar",1
"Cell_4","beta","beta",1
"Cell_5","delta","delta",1
"Cell_6","delta","delta",1
"Cell_7","delta","delta",1
"Cell_8","beta","beta",1
"Cell_9","acinar","acinar",1
"Cell_10","beta","beta",1
"Cell_11","ductal","ductal",1
"Cell_12","delta","delta",1
"Cell_13","beta","beta",1
"Cell_14","beta","beta",1
"Cell_15","activated_stellate","activated_stellate",1
"Cell_16","beta","beta",1
"Cell_17","beta","beta",1
"Cell_18","beta","beta",1
"Cell_19","alpha","alpha",1
"Cell_20","alpha","alpha",1
"Cell_21","beta","beta",1
"Cell_22","delta","delta",1
"Cell_23","beta","beta",1
"Cell_24","delta","delta",1
"Cell_25","beta","beta",1
"Cell_26","beta","beta",1
"Cell_27","beta","beta",1
"Cell_28","beta","beta",1
"Cell_29","alpha","alpha",1
"Cell_30","alpha","alpha",1
"Cell_31","ductal","ductal",1
"Cell_32","beta","beta",1
"Cell_33","beta","beta",1
"Cell_34","beta","beta",1
"Cell_35","beta","beta",1
"Cell_36","beta","beta",1
"Cell_37","beta","beta",1
"Cell_38","acinar","acinar",1
"Cell_39","alpha","alpha",1
"Cell_40","endothelial","endothelial",1
"Cell_41","alpha","alpha",1
"Cell_42","gamma","gamma",1
"Cell_43","alpha","alpha",1
"Cell_44","beta","beta",1
"Cell_45","ductal","ductal",1
"Cell_46","alpha","alpha",1
"Cell_47","ductal","ductal",1
"Cell_48","ductal","ductal",1
"Cell_49","activated_stellate","activated_stellate",1
"Cell_50","beta","beta",1
"Cell_51","beta","beta",1
"Cell_52","beta","beta",1
"Cell_53","acinar","acinar",1
"Cell_54","beta","beta",1
"Cell_55","alpha","alpha",1
"Cell_56","beta","beta",1
"Cell_57","beta","beta",1
"Cell_58","beta","beta",1
"Cell_59","alpha","alpha",1
"Cell_60","endothelial","endothelial",1
"Cell_61","alpha","alpha",1
"Cell_62","gamma","gamma",1
"Cell_63","beta","beta",1
"Cell_64","beta","beta",1
"Cell_65","beta","beta",1
"Cell_66","beta","beta",1
"Cell_67","beta","beta",1
"Cell_68","beta","beta",1
"Cell_69","beta","beta",1
"Cell_70","delta","delta",1
"Cell_71","beta","beta",1
"Cell_72","gamma","gamma",1
"Cell_73","alpha","beta",1
"Cell_74","beta","beta",1
"Cell_75","beta","beta",1
"Cell_76","delta","delta",1
"Cell_77","alpha","epsilon",1
"Cell_78","beta","beta",1
"Cell_79","ductal","ductal",1
"Cell_80","beta","beta",1
"Cell_81","beta","beta",1
"Cell_82","beta","beta",1
"Cell_83","alpha","alpha",1
"Cell_84","beta","beta",1
"Cell_85","alpha","alpha",1
"Cell_86","beta","beta",1
"Cell_87","beta","beta",1
"Cell_88","schwann","schwann",1
"Cell_89","alpha","alpha",1
"Cell_90","beta","beta",1
"Cell_91","ductal","ductal",1
"Cell_92","endothelial","endothelial",1
"Cell_93","alpha","alpha",1
"Cell_94","acinar","acinar",1
"Cell_95","beta","beta",1
"Cell_96","beta","beta",1
"Cell_97","beta","beta",1
"Cell_98","beta","beta",1
"Cell_99","beta","beta",1
"Cell_100","beta","beta",1
"Cell_101","beta","beta",1
"Cell_102","quiescent_stellate","quiescent_stellate",1
"Cell_103","delta","delta",1
"Cell_104","alpha","alpha",1
"Cell_105","acinar","acinar",1
"Cell_106","beta","beta",1
"Cell_107","endothelial","endothelial",1
"Cell_108","activated_stellate","activated_stellate",1
"Cell_109","beta","beta",1
"Cell_110","acinar","acinar",1
"Cell_111","gamma","gamma",1
"Cell_112","beta","beta",1
"Cell_113","beta","beta",1
"Cell_114","beta","beta",1
"Cell_115","beta","beta",1
"Cell_116","quiescent_stellate","quiescent_stellate",1
"Cell_117","delta","delta",1
"Cell_118","beta","beta",1
"Cell_119","activated_stellate","activated_stellate",1
"Cell_120","quiescent_stellate","quiescent_stellate",1
"Cell_121","beta","beta",1
"Cell_122","beta","beta",1
"Cell_123","endothelial","endothelial",1
"Cell_124","beta","beta",1
"Cell_125","beta","beta",1
"Cell_126","ductal","ductal",1
"Cell_127","endothelial","endothelial",1
"Cell_128","endothelial","endothelial",1
"Cell_129","beta","beta",1
"Cell_130","ductal","ductal",1
"Cell_131","acinar","acinar",1
"Cell_132","acinar","acinar",1
"Cell_133","acinar","acinar",1
"Cell_134","beta","beta",1
"Cell_135","alpha","alpha",1
"Cell_136","delta","delta",1
"Cell_137","beta","beta",1
"Cell_138","delta","delta",1
"Cell_139","alpha","alpha",1
"Cell_140","beta","beta",1
"Cell_141","beta","beta",1
"Cell_142","beta","beta",1
"Cell_143","acinar","acinar",1
"Cell_144","beta","beta",1
"Cell_145","beta","beta",1
"Cell_146","beta","beta",1
"Cell_147","beta","beta",1
"Cell_148","beta","beta",1
"Cell_149","beta","beta",1
"Cell_150","delta","delta",1
"Cell_151","ductal","ductal",1
"Cell_152","beta","beta",1
