,pred,true_label,fold
0,alpha-beta_T_Cells,alpha-beta_T_Cells,1
1,Inflammatory_Macrophage,Inflammatory_Macrophage,1
2,Inflammatory_Macrophage,Inflammatory_Macrophage,1
3,alpha-beta_T_Cells,alpha-beta_T_Cells,1
4,Central_venous_LSECs,Central_venous_LSECs,1
5,Central_venous_LSECs,Central_venous_LSECs,1
6,Inflammatory_Macrophage,Inflammatory_Macrophage,1
7,Central_venous_LSECs,Central_venous_LSECs,1
8,Inflammatory_Macrophage,Inflammatory_Macrophage,1
9,gamma-delta_T_Cells_2,gamma-delta_T_Cells_2,1
10,Central_venous_LSECs,Central_venous_LSECs,1
11,Hepatocyte_5,Hepatocyte_5,1
12,Central_venous_LSECs,Central_venous_LSECs,1
13,alpha-beta_T_Cells,gamma-delta_T_Cells_1,1
14,Inflammatory_Macrophage,Inflammatory_Macrophage,1
15,Hepatocyte_5,Hepatocyte_5,1
16,Central_venous_LSECs,Central_venous_LSECs,1
17,Non-inflammatory_Macrophage,Non-inflammatory_Macrophage,1
18,alpha-beta_T_Cells,alpha-beta_T_Cells,1
19,Inflammatory_Macrophage,Inflammatory_Macrophage,1
20,Inflammatory_Macrophage,Inflammatory_Macrophage,1
21,alpha-beta_T_Cells,alpha-beta_T_Cells,1
22,Central_venous_LSECs,Central_venous_LSECs,1
23,alpha-beta_T_Cells,alpha-beta_T_Cells,1
24,Central_venous_LSECs,Central_venous_LSECs,1
25,alpha-beta_T_Cells,alpha-beta_T_Cells,1
26,Inflammatory_Macrophage,Inflammatory_Macrophage,1
27,alpha-beta_T_Cells,alpha-beta_T_Cells,1
28,gamma-delta_T_Cells_1,gamma-delta_T_Cells_1,1
29,Hepatocyte_5,Hepatocyte_5,1
30,NK-like_Cells,NK-like_Cells,1
31,NK-like_Cells,NK-like_Cells,1
32,NK-like_Cells,NK-like_Cells,1
33,alpha-beta_T_Cells,alpha-beta_T_Cells,1
34,Inflammatory_Macrophage,Inflammatory_Macrophage,1
35,Non-inflammatory_Macrophage,Non-inflammatory_Macrophage,1
36,Central_venous_LSECs,Central_venous_LSECs,1
37,Central_venous_LSECs,Central_venous_LSECs,1
38,Inflammatory_Macrophage,Inflammatory_Macrophage,1
39,Central_venous_LSECs,Periportal_LSECs,1
40,NK-like_Cells,NK-like_Cells,1
41,NK-like_Cells,NK-like_Cells,1
42,Portal_endothelial_Cells,Portal_endothelial_Cells,1
43,Central_venous_LSECs,Central_venous_LSECs,1
44,Hepatocyte_6,Hepatocyte_6,1
45,Central_venous_LSECs,Central_venous_LSECs,1
46,alpha-beta_T_Cells,alpha-beta_T_Cells,1
47,Central_venous_LSECs,Central_venous_LSECs,1
48,alpha-beta_T_Cells,alpha-beta_T_Cells,1
49,gamma-delta_T_Cells_1,gamma-delta_T_Cells_1,1
50,alpha-beta_T_Cells,alpha-beta_T_Cells,1
51,Cholangiocytes,Cholangiocytes,1
52,Hepatocyte_5,Hepatocyte_5,1
53,Hepatocyte_5,Hepatocyte_5,1
54,NK-like_Cells,NK-like_Cells,1
55,Non-inflammatory_Macrophage,Non-inflammatory_Macrophage,1
56,gamma-delta_T_Cells_1,gamma-delta_T_Cells_1,1
57,alpha-beta_T_Cells,alpha-beta_T_Cells,1
58,alpha-beta_T_Cells,alpha-beta_T_Cells,1
59,Non-inflammatory_Macrophage,Non-inflammatory_Macrophage,1
60,alpha-beta_T_Cells,alpha-beta_T_Cells,1
61,Non-inflammatory_Macrophage,Non-inflammatory_Macrophage,1
62,alpha-beta_T_Cells,alpha-beta_T_Cells,1
63,Central_venous_LSECs,Inflammatory_Macrophage,1
64,alpha-beta_T_Cells,gamma-delta_T_Cells_1,1
65,Periportal_LSECs,Periportal_LSECs,1
66,alpha-beta_T_Cells,alpha-beta_T_Cells,1
67,NK-like_Cells,NK-like_Cells,1
