"","pred","true_label","fold"
"1","alpha","alpha",1
"2","alpha","alpha",1
"3","unclassified endocrine","unclassified endocrine",1
"4","ductal","ductal",1
"5","unclassified endocrine","not applicable",1
"6","not applicable","not applicable",1
"7","delta","delta",1
"8","beta","beta",1
"9","not applicable","not applicable",1
"10","alpha","alpha",1
"11","PSC","PSC",1
"12","co-expression","co-expression",1
"13","ductal","ductal",1
"14","beta","beta",1
"15","delta","delta",1
"16","beta","beta",1
"17","gamma","gamma",1
"18","beta","beta",1
"19","not applicable","not applicable",1
"20","unclassified endocrine","not applicable",1
"21","delta","delta",1
"22","beta","beta",1
"23","beta","beta",1
"24","unclassified endocrine","not applicable",1
"25","alpha","alpha",1
"26","beta","beta",1
"27","unclassified endocrine","not applicable",1
"28","unclassified endocrine","not applicable",1
"29","delta","delta",1
"30","unclassified endocrine","not applicable",1
"31","alpha","alpha",1
"32","not applicable","not applicable",1
"33","not applicable","not applicable",1
"34","acinar","acinar",1
"35","beta","co-expression",1
"36","acinar","acinar",1
"37","acinar","acinar",1
"38","gamma","gamma",1
"39","alpha","alpha",1
"40","alpha","alpha",1
"41","beta","beta",1
"42","unclassified endocrine","not applicable",1
"43","unclassified endocrine","not applicable",1
"44","beta","beta",1
"45","not applicable","not applicable",1
"46","not applicable","not applicable",1
"47","beta","beta",1
"48","alpha","alpha",1
"49","unclassified endocrine","not applicable",1
"50","alpha","not applicable",1
"51","alpha","alpha",1
"52","unclassified endocrine","unclassified endocrine",1
"53","alpha","alpha",1
"54","not applicable","alpha",1
"55","delta","delta",1
"56","alpha","alpha",1
"57","alpha","alpha",1
"58","mast","mast",1
"59","ductal","ductal",1
"60","alpha","alpha",1
"61","unclassified endocrine","not applicable",1
"62","alpha","alpha",1
"63","gamma","gamma",1
"64","gamma","gamma",1
"65","alpha","alpha",1
"66","alpha","alpha",1
"67","gamma","gamma",1
"68","alpha","alpha",1
"69","alpha","alpha",1
"70","alpha","alpha",1
"71","unclassified endocrine","not applicable",1
"72","alpha","alpha",1
"73","ductal","ductal",1
"74","alpha","alpha",1
"75","alpha","alpha",1
"76","ductal","ductal",1
"77","alpha","alpha",1
"78","alpha","not applicable",1
"79","ductal","ductal",1
"80","gamma","gamma",1
"81","ductal","ductal",1
"82","ductal","ductal",1
"83","alpha","alpha",1
"84","unclassified endocrine","not applicable",1
"85","ductal","ductal",1
"86","beta","beta",1
"87","delta","delta",1
"88","not applicable","not applicable",1
"89","alpha","alpha",1
"90","mast","mast",1
"91","acinar","acinar",1
"92","unclassified endocrine","not applicable",1
"93","unclassified endocrine","not applicable",1
"94","not applicable","not applicable",1
"95","not applicable","not applicable",1
"96","alpha","alpha",1
"97","gamma","gamma",1
"98","gamma","gamma",1
"99","gamma","gamma",1
"100","gamma","gamma",1
"101","alpha","alpha",1
"102","co-expression","co-expression",1
"103","not applicable","not applicable",1
"104","unclassified endocrine","not applicable",1
"105","unclassified endocrine","not applicable",1
"106","gamma","not applicable",1
"107","gamma","gamma",1
"108","gamma","gamma",1
"109","alpha","alpha",1
"110","gamma","gamma",1
"111","unclassified endocrine","not applicable",1
"112","unclassified endocrine","not applicable",1
"113","beta","beta",1
"114","alpha","alpha",1
"115","gamma","gamma",1
"116","gamma","gamma",1
"117","unclassified endocrine","not applicable",1
"118","alpha","alpha",1
"119","not applicable","not applicable",1
"120","alpha","alpha",1
"121","alpha","alpha",1
"122","alpha","alpha",1
"123","alpha","alpha",1
