"","pred","true_label","fold"
"AZ_B12","alpha","alpha",1
"AZ_B2","alpha","alpha",1
"AZ_B4","not applicable","unclassified endocrine",1
"AZ_C3","not applicable","ductal",1
"AZ_C6","not applicable","not applicable",1
"AZ_D1","not applicable","not applicable",1
"AZ_D5","delta","delta",1
"AZ_D6","beta","beta",1
"AZ_E10","not applicable","not applicable",1
"AZ_E8","alpha","alpha",1
"AZ_F5","PSC","PSC",1
"AZ_F7","beta","co-expression",1
"AZ_F9","ductal","ductal",1
"AZ_G2","beta","beta",1
"AZ_H1","delta","delta",1
"AZ_H2","beta","beta",1
"AZ_H5","gamma","gamma",1
"AZ_H6","beta","beta",1
"AZ_H7","not applicable","not applicable",1
"HP1502401_A11","not applicable","not applicable",1
"HP1502401_A18","delta","delta",1
"HP1502401_A7","beta","beta",1
"HP1502401_B1","beta","beta",1
"HP1502401_C11","not applicable","not applicable",1
"HP1502401_C14","alpha","alpha",1
"HP1502401_C18","beta","beta",1
"HP1502401_C24","not applicable","not applicable",1
"HP1502401_D1","not applicable","not applicable",1
"HP1502401_D12","delta","delta",1
"HP1502401_D15","not applicable","not applicable",1
"HP1502401_D20","alpha","alpha",1
"HP1502401_E1","not applicable","not applicable",1
"HP1502401_E12","not applicable","not applicable",1
"HP1502401_E20","acinar","acinar",1
"HP1502401_E22","beta","co-expression",1
"HP1502401_E23","acinar","acinar",1
"HP1502401_E24","acinar","acinar",1
"HP1502401_E7","gamma","gamma",1
"HP1502401_F20","alpha","alpha",1
"HP1502401_F23","alpha","alpha",1
"HP1502401_F24","beta","beta",1
"HP1502401_F6","not applicable","not applicable",1
"HP1502401_F7","not applicable","not applicable",1
"HP1502401_F9","beta","beta",1
"HP1502401_G16","not applicable","not applicable",1
"HP1502401_G19","not applicable","not applicable",1
"HP1502401_G22","beta","beta",1
"HP1502401_G7","alpha","alpha",1
"HP1502401_G9","not applicable","not applicable",1
"HP1502401_H10","alpha","not applicable",1
"HP1502401_H7","alpha","alpha",1
"HP1502401_I19","not applicable","unclassified endocrine",1
"HP1502401_I23","alpha","alpha",1
"HP1502401_I4","alpha","alpha",1
"HP1502401_I7","delta","delta",1
"HP1502401_J1","alpha","alpha",1
"HP1502401_J11","alpha","alpha",1
"HP1502401_J16","mast","mast",1
"HP1502401_J17","ductal","ductal",1
"HP1502401_J23","alpha","alpha",1
"HP1502401_J5","not applicable","not applicable",1
"HP1502401_K11","alpha","alpha",1
"HP1502401_K14","gamma","gamma",1
"HP1502401_K24","gamma","gamma",1
"HP1502401_K3","alpha","alpha",1
"HP1502401_K9","alpha","alpha",1
"HP1502401_L14","gamma","gamma",1
"HP1502401_L20","alpha","alpha",1
"HP1502401_L21","alpha","alpha",1
"HP1502401_L22","alpha","alpha",1
"HP1502401_L24","not applicable","not applicable",1
"HP1502401_L4","alpha","alpha",1
"HP1502401_L5","ductal","ductal",1
"HP1502401_L7","alpha","alpha",1
"HP1502401_L9","alpha","alpha",1
"HP1502401_M16","ductal","ductal",1
"HP1502401_M21","alpha","alpha",1
"HP1502401_M9","alpha","not applicable",1
"HP1502401_N10","ductal","ductal",1
"HP1502401_N11","gamma","gamma",1
"HP1502401_N16","ductal","ductal",1
"HP1502401_N18","ductal","ductal",1
"HP1502401_N20","alpha","alpha",1
"HP1502401_N6","not applicable","not applicable",1
"HP1502401_O10","ductal","ductal",1
"HP1502401_O16","beta","beta",1
"HP1502401_O18","delta","delta",1
"HP1502401_O19","not applicable","not applicable",1
"HP1502401_O22","alpha","alpha",1
"HP1502401_O9","mast","mast",1
"HP1504101T2D_A10","acinar","acinar",1
"HP1504101T2D_A2","not applicable","not applicable",1
"HP1504101T2D_A7","not applicable","not applicable",1
"HP1504101T2D_B1","not applicable","not applicable",1
"HP1504101T2D_B2","not applicable","not applicable",1
"HP1504101T2D_B21","alpha","alpha",1
"HP1504101T2D_B22","gamma","gamma",1
"HP1504101T2D_B24","gamma","gamma",1
"HP1504101T2D_B4","gamma","gamma",1
"HP1504101T2D_C12","gamma","gamma",1
"HP1504101T2D_C14","alpha","alpha",1
"HP1504101T2D_C16","beta","co-expression",1
"HP1504101T2D_C19","not applicable","not applicable",1
"HP1504101T2D_C6","not applicable","not applicable",1
"HP1504101T2D_C7","not applicable","not applicable",1
"HP1504101T2D_C8","not applicable","not applicable",1
"HP1504101T2D_D11","gamma","gamma",1
"HP1504101T2D_D15","gamma","gamma",1
"HP1504101T2D_D2","alpha","alpha",1
"HP1504101T2D_D21","gamma","gamma",1
"HP1504101T2D_D22","not applicable","not applicable",1
"HP1504101T2D_D4","not applicable","not applicable",1
"HP1504101T2D_E15","beta","beta",1
"HP1504101T2D_E6","alpha","alpha",1
"HP1504101T2D_E8","gamma","gamma",1
"HP1504101T2D_F11","gamma","gamma",1
"HP1504101T2D_F6","not applicable","not applicable",1
"HP1504101T2D_G1","alpha","alpha",1
"HP1504101T2D_G11","not applicable","not applicable",1
"HP1504101T2D_G12","alpha","alpha",1
"HP1504101T2D_G14","alpha","alpha",1
"HP1504101T2D_G22","alpha","alpha",1
"HP1504101T2D_G24","alpha","alpha",1
"HP1504101T2D_G5","not applicable","not applicable",1
"HP1504101T2D_G8","gamma","gamma",1
"HP1504101T2D_H14","gamma","gamma",1
"HP1504101T2D_H17","alpha","alpha",1
"HP1504101T2D_H6","beta","beta",1
"HP1504101T2D_H8","not applicable","not applicable",1
"HP1504101T2D_I10","gamma","gamma",1
"HP1504101T2D_I11","delta","not applicable",1
"HP1504101T2D_I12","not applicable","not applicable",1
"HP1504101T2D_I14","alpha","alpha",1
"HP1504101T2D_I2","not applicable","alpha",1
"HP1504101T2D_I8","alpha","alpha",1
"HP1504101T2D_J15","alpha","alpha",1
"HP1504101T2D_J18","alpha","alpha",1
"HP1504101T2D_J21","not applicable","not applicable",1
"HP1504101T2D_J23","not applicable","not applicable",1
"HP1504101T2D_K10","acinar","acinar",1
"HP1504101T2D_K12","alpha","alpha",1
"HP1504101T2D_K18","alpha","alpha",1
"HP1504101T2D_K22","alpha","alpha",1
"HP1504101T2D_K6","not applicable","not applicable",1
"HP1504101T2D_L11","delta","delta",1
"HP1504101T2D_L15","gamma","gamma",1
"HP1504101T2D_L5","alpha","alpha",1
"HP1504101T2D_L9","not applicable","not applicable",1
"HP1504101T2D_M10","alpha","alpha",1
"HP1504101T2D_M11","not applicable","not applicable",1
"HP1504101T2D_M16","not applicable","not applicable",1
"HP1504101T2D_M19","alpha","alpha",1
"HP1504101T2D_M2","alpha","alpha",1
"HP1504101T2D_M3","gamma","gamma",1
"HP1504101T2D_M5","alpha","alpha",1
"HP1504101T2D_N10","beta","beta",1
"HP1504101T2D_N11","not applicable","not applicable",1
"HP1504101T2D_N12","alpha","alpha",1
"HP1504101T2D_N17","alpha","alpha",1
"HP1504101T2D_N2","alpha","alpha",1
"HP1504101T2D_N23","not applicable","not applicable",1
"HP1504101T2D_N3","not applicable","not applicable",1
"HP1504101T2D_N9","alpha","alpha",1
"HP1504101T2D_O22","alpha","alpha",1
"HP1504101T2D_O6","alpha","alpha",1
"HP1504101T2D_P1","not applicable","unclassified endocrine",1
"HP1504101T2D_P11","alpha","alpha",1
"HP1504101T2D_P12","gamma","gamma",1
"HP1504101T2D_P17","alpha","alpha",1
"HP1504901_A14","alpha","alpha",1
"HP1504901_A15","not applicable","not applicable",1
"HP1504901_A24","not applicable","not applicable",1
"HP1504901_A3","beta","beta",1
"HP1504901_A5","gamma","gamma",1
"HP1504901_A9","alpha","alpha",1
"HP1504901_B17","not applicable","not applicable",1
"HP1504901_B18","alpha","alpha",1
"HP1504901_B21","alpha","alpha",1
"HP1504901_B24","PSC","PSC",1
"HP1504901_B5","not applicable","not applicable",1
"HP1504901_B9","delta","delta",1
"HP1504901_C15","not applicable","not applicable",1
"HP1504901_C21","not applicable","not applicable",1
"HP1504901_C24","not applicable","not applicable",1
"HP1504901_D14","alpha","alpha",1
"HP1504901_D17","alpha","alpha",1
"HP1504901_D19","not applicable","not applicable",1
"HP1504901_D2","alpha","alpha",1
"HP1504901_D9","gamma","gamma",1
"HP1504901_E10","beta","co-expression",1
"HP1504901_E11","not applicable","not applicable",1
"HP1504901_E5","not applicable","not applicable",1
"HP1504901_F12","alpha","alpha",1
"HP1504901_F2","delta","delta",1
"HP1504901_F23","acinar","acinar",1
"HP1504901_F24","alpha","alpha",1
"HP1504901_F6","alpha","not applicable",1
"HP1504901_G12","beta","beta",1
"HP1504901_G15","alpha","alpha",1
"HP1504901_G8","beta","beta",1
"HP1504901_H12","alpha","alpha",1
"HP1504901_H9","not applicable","not applicable",1
"HP1504901_I22","gamma","gamma",1
"HP1504901_I6","not applicable","not applicable",1
"HP1504901_J18","PSC","PSC",1
"HP1504901_J9","gamma","gamma",1
"HP1504901_K16","not applicable","not applicable",1
"HP1504901_K19","beta","beta",1
"HP1504901_K20","delta","delta",1
"HP1504901_L22","beta","beta",1
"HP1504901_L7","not applicable","not applicable",1
"HP1504901_M1","not applicable","not applicable",1
"HP1504901_M14","not applicable","not applicable",1
"HP1504901_M16","not applicable","not applicable",1
"HP1504901_M19","PSC","PSC",1
"HP1504901_M24","alpha","alpha",1
"HP1504901_M7","gamma","not applicable",1
"HP1504901_N1","alpha","alpha",1
"HP1504901_N11","not applicable","not applicable",1
"HP1504901_N15","gamma","gamma",1
"HP1504901_N17","alpha","alpha",1
"HP1504901_N2","alpha","alpha",1
"HP1504901_N23","gamma","gamma",1
"HP1504901_N4","not applicable","not applicable",1
"HP1504901_N7","alpha","alpha",1
"HP1504901_O12","not applicable","not applicable",1
"HP1504901_O21","gamma","gamma",1
"HP1504901_O6","alpha","alpha",1
"HP1504901_O7","alpha","alpha",1
"HP1504901_O8","beta","beta",1
"HP1506401_A22","not applicable","not applicable",1
"HP1506401_A23","not applicable","not applicable",1
"HP1506401_A3","not applicable","not applicable",1
"HP1506401_B12","not applicable","not applicable",1
"HP1506401_B15","PSC","PSC",1
"HP1506401_B17","ductal","ductal",1
"HP1506401_B22","gamma","gamma",1
"HP1506401_B5","acinar","acinar",1
"HP1506401_B6","acinar","acinar",1
"HP1506401_C1","not applicable","not applicable",1
"HP1506401_C10","not applicable","not applicable",1
"HP1506401_C17","ductal","ductal",1
"HP1506401_C18","not applicable","unclassified endocrine",1
"HP1506401_C9","beta","beta",1
"HP1506401_D15","ductal","ductal",1
"HP1506401_D18","ductal","not applicable",1
"HP1506401_D19","gamma","not applicable",1
"HP1506401_D2","ductal","ductal",1
"HP1506401_E14","acinar","not applicable",1
"HP1506401_E16","delta","delta",1
"HP1506401_E23","acinar","acinar",1
"HP1506401_E3","gamma","not applicable",1
"HP1506401_E4","not applicable","unclassified endocrine",1
