,pred,true_label,fold
0,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
1,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
2,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
3,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
4,CD19+ B,CD8+/CD45RA+ Naive Cytotoxic,1
5,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
6,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
7,CD4+/CD25 T Reg,CD4+/CD25 T Reg,1
8,CD19+ B,CD19+ B,1
9,CD4+/CD45RA+/CD25- Naive T,CD4+/CD45RA+/CD25- Naive T,1
10,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
11,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
12,CD4+/CD25 T Reg,CD4+/CD25 T Reg,1
13,CD4+/CD45RO+ Memory,CD4+/CD25 T Reg,1
14,CD4+/CD45RO+ Memory,CD4+/CD25 T Reg,1
15,CD4+/CD25 T Reg,CD4+/CD25 T Reg,1
16,CD14+ Monocyte,CD14+ Monocyte,1
17,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
18,CD19+ B,CD19+ B,1
19,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
20,CD4+/CD25 T Reg,CD4+/CD45RA+/CD25- Naive T,1
21,CD19+ B,CD19+ B,1
22,CD4+/CD45RA+/CD25- Naive T,CD4+/CD45RA+/CD25- Naive T,1
23,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
24,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
25,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
26,CD56+ NK,CD56+ NK,1
27,CD4+/CD45RO+ Memory,CD4+/CD45RO+ Memory,1
28,CD4+/CD45RA+/CD25- Naive T,CD4+/CD45RA+/CD25- Naive T,1
29,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
30,CD8+ Cytotoxic T,CD8+/CD45RA+ Naive Cytotoxic,1
31,CD19+ B,CD19+ B,1
32,CD19+ B,CD19+ B,1
33,Dendritic,Dendritic,1
34,CD19+ B,CD19+ B,1
35,CD4+/CD25 T Reg,CD4+/CD45RO+ Memory,1
36,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
37,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
38,CD19+ B,CD4+/CD25 T Reg,1
39,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
40,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
41,CD8+/CD45RA+ Naive Cytotoxic,CD19+ B,1
42,CD4+/CD25 T Reg,CD4+ T Helper2,1
43,CD8+/CD45RA+ Naive Cytotoxic,CD8+ Cytotoxic T,1
44,CD56+ NK,CD56+ NK,1
45,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,1
46,CD4+/CD25 T Reg,CD4+/CD45RO+ Memory,1
47,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
48,CD56+ NK,CD56+ NK,1
49,CD56+ NK,CD8+ Cytotoxic T,1
50,CD56+ NK,CD56+ NK,1
51,CD56+ NK,CD56+ NK,1
52,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
53,CD4+/CD25 T Reg,CD4+/CD45RO+ Memory,1
54,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
55,CD19+ B,CD8+/CD45RA+ Naive Cytotoxic,1
56,CD56+ NK,CD56+ NK,1
57,CD8+ Cytotoxic T,CD4+/CD45RA+/CD25- Naive T,1
58,CD8+ Cytotoxic T,CD8+/CD45RA+ Naive Cytotoxic,1
59,CD19+ B,CD19+ B,1
60,CD56+ NK,CD56+ NK,1
61,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
62,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
63,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
64,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
65,CD14+ Monocyte,CD14+ Monocyte,1
66,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
67,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
68,CD8+ Cytotoxic T,CD4+/CD45RO+ Memory,1
69,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
70,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
71,Dendritic,Dendritic,1
72,CD56+ NK,CD8+ Cytotoxic T,1
73,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
74,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
75,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
76,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,1
77,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
78,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
79,CD19+ B,CD19+ B,1
80,CD4+/CD45RO+ Memory,CD4+/CD45RO+ Memory,1
81,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,1
82,CD8+/CD45RA+ Naive Cytotoxic,CD8+ Cytotoxic T,1
83,CD14+ Monocyte,CD14+ Monocyte,1
84,CD56+ NK,CD56+ NK,1
85,CD8+/CD45RA+ Naive Cytotoxic,CD4+/CD45RA+/CD25- Naive T,1
86,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
87,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
88,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,1
89,CD19+ B,CD19+ B,1
90,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
91,Dendritic,Dendritic,1
92,CD56+ NK,CD56+ NK,1
93,CD4+/CD25 T Reg,CD4+/CD25 T Reg,1
94,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
95,CD56+ NK,CD56+ NK,1
96,CD4+/CD25 T Reg,CD8+/CD45RA+ Naive Cytotoxic,1
97,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
98,CD4+/CD45RO+ Memory,CD8+ Cytotoxic T,1
99,CD4+/CD45RA+/CD25- Naive T,CD4+/CD45RA+/CD25- Naive T,1
100,CD56+ NK,CD56+ NK,1
101,CD8+/CD45RA+ Naive Cytotoxic,CD19+ B,1
102,CD14+ Monocyte,Dendritic,1
103,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
104,CD56+ NK,CD56+ NK,1
105,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
106,CD19+ B,CD19+ B,1
107,CD8+/CD45RA+ Naive Cytotoxic,CD8+ Cytotoxic T,1
108,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
109,CD8+/CD45RA+ Naive Cytotoxic,CD8+/CD45RA+ Naive Cytotoxic,1
110,CD19+ B,CD19+ B,1
111,CD14+ Monocyte,CD14+ Monocyte,1
112,CD4+/CD25 T Reg,CD4+/CD45RO+ Memory,1
113,CD19+ B,CD19+ B,1
114,CD8+/CD45RA+ Naive Cytotoxic,CD8+ Cytotoxic T,1
115,CD8+/CD45RA+ Naive Cytotoxic,CD19+ B,1
116,CD14+ Monocyte,Dendritic,1
117,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
118,CD4+/CD25 T Reg,CD8+ Cytotoxic T,1
119,CD8+ Cytotoxic T,CD8+ Cytotoxic T,1
120,CD8+ Cytotoxic T,CD4+/CD45RO+ Memory,1
121,CD4+/CD45RO+ Memory,CD4+/CD25 T Reg,1
