"","pred","true_label","fold"
"1","CD56+ NK","CD8+ Cytotoxic T",1
"2","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"3","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"4","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"5","CD4+/CD45RA+/CD25- Naive T","CD8+/CD45RA+ Naive Cytotoxic",1
"6","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"7","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"8","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"9","CD19+ B","CD19+ B",1
"10","CD4+/CD45RA+/CD25- Naive T","CD4+/CD45RA+/CD25- Naive T",1
"11","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"12","CD4+/CD45RA+/CD25- Naive T","CD8+/CD45RA+ Naive Cytotoxic",1
"13","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"14","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"15","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"16","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"17","CD14+ Monocyte","CD14+ Monocyte",1
"18","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"19","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"20","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"21","CD4+/CD45RA+/CD25- Naive T","CD4+/CD45RA+/CD25- Naive T",1
"22","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"23","CD4+/CD25 T Reg","CD4+/CD45RA+/CD25- Naive T",1
"24","CD4+/CD45RO+ Memory","CD8+ Cytotoxic T",1
"25","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"26","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"27","CD56+ NK","CD56+ NK",1
"28","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"29","CD4+/CD45RA+/CD25- Naive T","CD4+/CD45RA+/CD25- Naive T",1
"30","CD56+ NK","CD8+ Cytotoxic T",1
"31","CD4+/CD45RO+ Memory","CD8+/CD45RA+ Naive Cytotoxic",1
"32","CD19+ B","CD19+ B",1
"33","CD19+ B","CD19+ B",1
"34","Dendritic","Dendritic",1
"35","CD19+ B","CD19+ B",1
"36","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"37","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"38","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"39","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"40","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"41","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"42","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"43","CD4+/CD25 T Reg","CD4+ T Helper2",1
"44","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"45","CD56+ NK","CD56+ NK",1
"46","CD4+/CD45RO+ Memory","CD8+ Cytotoxic T",1
"47","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"48","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"49","CD56+ NK","CD56+ NK",1
"50","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"51","CD56+ NK","CD56+ NK",1
"52","CD56+ NK","CD56+ NK",1
"53","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"54","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"55","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"56","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"57","CD56+ NK","CD56+ NK",1
