"","pred","true_label","fold"
"Cell_1","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_2","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_3","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_4","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_5","CD8+ Cytotoxic T","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_6","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_7","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_8","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_9","CD19+ B","CD19+ B",1
"Cell_10","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_11","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_12","CD4+/CD25 T Reg","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_13","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_14","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_15","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_16","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_17","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_18","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_19","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_20","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_21","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_22","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_23","CD4+/CD45RO+ Memory","CD4+/CD45RA+/CD25- Naive T",1
"Cell_24","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_25","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_26","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_27","CD56+ NK","CD56+ NK",1
"Cell_28","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"Cell_29","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_30","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_31","CD4+/CD25 T Reg","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_32","CD19+ B","CD19+ B",1
"Cell_33","CD19+ B","CD19+ B",1
"Cell_34","Dendritic","Dendritic",1
"Cell_35","CD19+ B","CD19+ B",1
"Cell_36","CD4+/CD45RO+ Memory","CD4+/CD45RO+ Memory",1
"Cell_37","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_38","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_39","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD25 T Reg",1
"Cell_40","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_41","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_42","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_43","CD4+/CD25 T Reg","CD4+ T Helper2",1
"Cell_44","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_45","CD56+ NK","CD56+ NK",1
"Cell_46","CD4+/CD45RO+ Memory","CD8+ Cytotoxic T",1
"Cell_47","CD8+ Cytotoxic T","CD4+/CD45RO+ Memory",1
"Cell_48","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_49","CD8+ Cytotoxic T","CD56+ NK",1
"Cell_50","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_51","CD56+ NK","CD56+ NK",1
"Cell_52","CD56+ NK","CD56+ NK",1
"Cell_53","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_54","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_55","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_56","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_57","CD56+ NK","CD56+ NK",1
"Cell_58","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_59","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_60","CD19+ B","CD19+ B",1
"Cell_61","CD56+ NK","CD56+ NK",1
"Cell_62","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_63","CD8+ Cytotoxic T","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_64","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_65","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_66","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_67","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_68","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_69","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_70","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_71","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_72","Dendritic","Dendritic",1
"Cell_73","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_74","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_75","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_76","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_77","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_78","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_79","CD56+ NK","CD8+ Cytotoxic T",1
"Cell_80","CD19+ B","CD19+ B",1
"Cell_81","CD8+ Cytotoxic T","CD4+/CD45RO+ Memory",1
"Cell_82","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_83","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_84","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_85","CD56+ NK","CD56+ NK",1
"Cell_86","CD8+ Cytotoxic T","CD4+/CD45RA+/CD25- Naive T",1
"Cell_87","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_88","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_89","CD4+/CD25 T Reg","CD8+ Cytotoxic T",1
"Cell_90","CD19+ B","CD19+ B",1
"Cell_91","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_92","CD14+ Monocyte","Dendritic",1
"Cell_93","CD56+ NK","CD56+ NK",1
"Cell_94","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
"Cell_95","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_96","CD56+ NK","CD56+ NK",1
"Cell_97","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_98","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_99","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_100","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RA+/CD25- Naive T",1
"Cell_101","CD56+ NK","CD56+ NK",1
"Cell_102","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_103","CD14+ Monocyte","Dendritic",1
"Cell_104","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_105","CD56+ NK","CD56+ NK",1
"Cell_106","CD8+/CD45RA+ Naive Cytotoxic","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_107","CD19+ B","CD19+ B",1
"Cell_108","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_109","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_110","CD4+/CD25 T Reg","CD8+/CD45RA+ Naive Cytotoxic",1
"Cell_111","CD8+ Cytotoxic T","CD19+ B",1
"Cell_112","CD14+ Monocyte","CD14+ Monocyte",1
"Cell_113","CD8+/CD45RA+ Naive Cytotoxic","CD4+/CD45RO+ Memory",1
"Cell_114","CD8+ Cytotoxic T","CD19+ B",1
"Cell_115","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_116","CD8+/CD45RA+ Naive Cytotoxic","CD19+ B",1
"Cell_117","CD14+ Monocyte","Dendritic",1
"Cell_118","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_119","CD8+/CD45RA+ Naive Cytotoxic","CD8+ Cytotoxic T",1
"Cell_120","CD8+ Cytotoxic T","CD8+ Cytotoxic T",1
"Cell_121","CD4+/CD25 T Reg","CD4+/CD45RO+ Memory",1
"Cell_122","CD4+/CD25 T Reg","CD4+/CD25 T Reg",1
